Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,City,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
ORD-01035,2023-04-15,2023-04-18,Standard Class,CUST-1299,Corporate,Philadelphia,East,Technology,Laptops,5792.02,4,0.0,1544.03
ORD-01036,2022-09-04,2022-09-08,First Class,CUST-1112,Consumer,Charlotte,South,Office Supplies,Binders,463.5,5,0.1,154.65
ORD-01037,2023-04-09,2023-04-16,Second Class,CUST-1013,Consumer,New York,East,Furniture,Bookcases,1065.61,5,0.3,48.14
ORD-01038,2021-04-13,2021-04-16,Standard Class,CUST-1142,Consumer,Portland,West,Office Supplies,Binders,119.94,4,0.0,34.11
ORD-01039,2021-04-17,2021-04-20,Second Class,CUST-1126,Consumer,Los Angeles,West,Office Supplies,Labels,30.01,1,0.2,7.89
ORD-01040,2022-03-23,2022-03-27,Second Class,CUST-1058,Consumer,Philadelphia,East,Technology,Phones,5426.31,6,0.0,1201.65
ORD-01041,2023-02-08,2023-02-12,First Class,CUST-1124,Corporate,Miami,South,Office Supplies,Paper,283.03,6,0.0,105.47
ORD-01042,2021-03-26,2021-03-29,Second Class,CUST-1215,Corporate,Miami,South,Technology,Accessories,4275.94,1,0.0,981.37
ORD-01043,2021-11-10,2021-11-14,First Class,CUST-1238,Corporate,Boston,East,Office Supplies,Binders,82.46,4,0.1,31.33
ORD-01044,2023-07-13,2023-07-15,Standard Class,CUST-1093,Home Office,Philadelphia,East,Furniture,Bookcases,5503.24,3,0.0,404.91
ORD-01045,2022-07-20,2022-07-25,Second Class,CUST-1284,Consumer,Houston,Central,Furniture,Bookcases,234.51,4,0.0,30.49
ORD-01046,2022-08-26,2022-08-28,Standard Class,CUST-1283,Consumer,Atlanta,East,Office Supplies,Labels,127.28,4,0.0,43.96
ORD-01047,2022-09-20,2022-09-23,Standard Class,CUST-1094,Consumer,New Orleans,South,Furniture,Storage,983.83,6,0.0,133.53
ORD-01048,2022-08-30,2022-09-01,First Class,CUST-1023,Home Office,Seattle,West,Technology,Monitors,3090.08,3,0.0,639.11
ORD-01049,2021-07-30,2021-07-31,First Class,CUST-1129,Corporate,Dallas,Central,Office Supplies,Pens,352.96,1,0.0,100.66
ORD-01050,2021-04-20,2021-04-22,Standard Class,CUST-1213,Consumer,Los Angeles,West,Office Supplies,Labels,79.9,5,0.0,20.94
ORD-01051,2023-05-29,2023-06-01,Standard Class,CUST-1108,Consumer,Denver,Central,Office Supplies,Paper,78.7,2,0.1,26.37
ORD-01052,2023-04-17,2023-04-21,Standard Class,CUST-1144,Corporate,San Francisco,West,Technology,Phones,7142.21,6,0.0,1044.87
ORD-01053,2022-02-10,2022-02-14,First Class,CUST-1036,Home Office,San Francisco,West,Office Supplies,Labels,38.96,2,0.1,14.69
ORD-01054,2022-09-15,2022-09-22,Standard Class,CUST-1020,Consumer,Boston,East,Technology,Accessories,3039.58,1,0.1,452.17
ORD-01055,2021-02-12,2021-02-19,Same Day,CUST-1226,Consumer,New York,East,Office Supplies,Pens,99.29,5,0.2,14.28
ORD-01056,2021-07-06,2021-07-10,Standard Class,CUST-1168,Corporate,Charlotte,South,Office Supplies,Paper,166.36,2,0.0,37.62
ORD-01057,2023-07-21,2023-07-22,Second Class,CUST-1000,Home Office,Portland,West,Furniture,Storage,1904.04,5,0.0,272.54
ORD-01058,2023-10-18,2023-10-25,Second Class,CUST-1224,Corporate,Philadelphia,East,Office Supplies,Labels,69.1,3,0.0,23.31
ORD-01059,2021-01-29,2021-02-03,Standard Class,CUST-1060,Corporate,San Francisco,West,Office Supplies,Labels,64.16,4,0.5,11.44
ORD-01060,2023-09-16,2023-09-20,Standard Class,CUST-1069,Corporate,Boston,East,Office Supplies,Paper,80.68,5,0.0,34.73
ORD-01061,2022-07-02,2022-07-03,First Class,CUST-1250,Consumer,Denver,Central,Office Supplies,Pens,110.42,6,0.2,27.05
ORD-01062,2023-02-12,2023-02-16,First Class,CUST-1119,Consumer,Boston,East,Office Supplies,Labels,140.26,4,0.5,1.36
ORD-01063,2023-03-02,2023-03-09,First Class,CUST-1169,Corporate,Portland,West,Office Supplies,Labels,239.79,5,0.0,50.18
ORD-01064,2021-11-13,2021-11-14,Standard Class,CUST-1041,Consumer,Portland,West,Office Supplies,Labels,219.23,6,0.0,81.81
ORD-01065,2021-05-21,2021-05-23,Standard Class,CUST-1050,Home Office,Charlotte,South,Office Supplies,Labels,144.78,4,0.5,19.79
ORD-01066,2021-04-25,2021-04-28,Standard Class,CUST-1092,Home Office,Boston,East,Office Supplies,Binders,227.91,5,0.0,75.85
ORD-01067,2021-10-21,2021-10-23,Standard Class,CUST-1147,Corporate,Atlanta,East,Technology,Phones,3781.93,4,0.0,882.58
ORD-01068,2023-05-19,2023-05-26,Standard Class,CUST-1054,Home Office,Seattle,West,Office Supplies,Paper,123.79,4,0.0,36.66
ORD-01069,2023-03-22,2023-03-25,First Class,CUST-1117,Consumer,Boston,East,Technology,Accessories,153.04,3,0.3,15.16
ORD-01070,2021-10-08,2021-10-15,Second Class,CUST-1186,Corporate,San Francisco,West,Office Supplies,Pens,19.09,5,0.0,5.92
ORD-01071,2021-09-28,2021-10-03,Standard Class,CUST-1131,Corporate,New Orleans,South,Office Supplies,Binders,356.63,2,0.1,134.94
ORD-01072,2021-08-24,2021-08-28,Standard Class,CUST-1203,Corporate,New Orleans,South,Office Supplies,Labels,231.39,6,0.2,36.19
ORD-01073,2023-07-21,2023-07-24,Second Class,CUST-1055,Consumer,Portland,West,Office Supplies,Pens,276.91,3,0.1,98.47
ORD-01074,2021-05-10,2021-05-17,Standard Class,CUST-1019,Home Office,Seattle,West,Office Supplies,Labels,336.04,1,0.1,60.21
ORD-01075,2023-07-19,2023-07-22,Standard Class,CUST-1050,Home Office,San Francisco,West,Furniture,Storage,4463.38,4,0.1,364.43
ORD-01076,2023-06-28,2023-07-02,Standard Class,CUST-1183,Consumer,New Orleans,South,Office Supplies,Labels,428.49,5,0.0,159.15
ORD-01077,2021-07-07,2021-07-14,First Class,CUST-1289,Home Office,Los Angeles,West,Technology,Accessories,687.84,2,0.0,114.66
ORD-01078,2021-01-06,2021-01-09,Standard Class,CUST-1056,Consumer,Philadelphia,East,Technology,Laptops,2174.34,2,0.5,-91.23
ORD-01079,2022-10-26,2022-10-27,Standard Class,CUST-1032,Corporate,Seattle,West,Office Supplies,Binders,30.27,1,0.0,9.24
ORD-01080,2021-03-30,2021-04-06,Standard Class,CUST-1245,Consumer,New York,East,Furniture,Bookcases,4294.46,1,0.0,820.27
ORD-01081,2021-06-15,2021-06-18,Standard Class,CUST-1280,Corporate,Denver,Central,Office Supplies,Labels,93.2,5,0.0,33.19
ORD-01082,2021-07-23,2021-07-30,Second Class,CUST-1173,Consumer,New Orleans,South,Office Supplies,Labels,43.18,4,0.0,18.22
ORD-01083,2022-06-07,2022-06-10,Standard Class,CUST-1221,Consumer,New York,East,Office Supplies,Labels,573.08,1,0.0,233.78
ORD-01084,2022-11-07,2022-11-14,Second Class,CUST-1026,Corporate,Chicago,Central,Technology,Accessories,1010.38,4,0.3,139.66
ORD-01085,2021-08-10,2021-08-13,Standard Class,CUST-1219,Consumer,Philadelphia,East,Office Supplies,Pens,382.74,2,0.0,103.2
ORD-01086,2022-09-25,2022-09-28,Standard Class,CUST-1035,Consumer,Boston,East,Office Supplies,Binders,78.26,4,0.3,14.99
ORD-01087,2021-11-19,2021-11-22,Standard Class,CUST-1026,Consumer,San Francisco,West,Technology,Phones,2200.24,1,0.2,249.77
ORD-01088,2023-06-25,2023-06-29,Standard Class,CUST-1249,Consumer,Houston,Central,Technology,Phones,828.28,6,0.0,101.2
ORD-01089,2022-02-23,2022-02-26,Standard Class,CUST-1003,Home Office,Portland,West,Furniture,Bookcases,2731.28,1,0.2,-212.05
ORD-01090,2022-12-27,2022-12-28,Standard Class,CUST-1160,Corporate,Portland,West,Furniture,Storage,775.02,1,0.0,50.33
ORD-01091,2022-10-28,2022-10-30,Standard Class,CUST-1223,Consumer,Denver,Central,Office Supplies,Labels,387.82,1,0.2,127.96
ORD-01092,2022-09-28,2022-10-05,Standard Class,CUST-1058,Corporate,Atlanta,East,Office Supplies,Paper,130.15,6,0.2,15.5
ORD-01093,2021-10-30,2021-11-01,Same Day,CUST-1038,Consumer,New Orleans,South,Furniture,Tables,824.3,6,0.0,82.92
ORD-01094,2022-10-24,2022-10-31,First Class,CUST-1140,Corporate,Atlanta,East,Technology,Monitors,3708.48,3,0.0,698.83
ORD-01095,2023-01-26,2023-01-29,Standard Class,CUST-1297,Consumer,Boston,East,Office Supplies,Pens,14.52,4,0.1,4.02
ORD-01096,2021-11-05,2021-11-06,Standard Class,CUST-1088,Consumer,Philadelphia,East,Office Supplies,Binders,105.49,6,0.5,-3.05
ORD-01097,2023-03-05,2023-03-09,First Class,CUST-1168,Consumer,Nashville,South,Technology,Monitors,1585.02,1,0.2,205.2
ORD-01098,2021-10-17,2021-10-20,Second Class,CUST-1158,Consumer,San Francisco,West,Technology,Monitors,3654.13,1,0.0,883.45
ORD-01099,2023-01-12,2023-01-13,Standard Class,CUST-1098,Corporate,Chicago,Central,Office Supplies,Pens,69.09,4,0.4,5.9
ORD-01100,2023-12-15,2023-12-16,Standard Class,CUST-1084,Home Office,Seattle,West,Technology,Laptops,3100.38,2,0.1,250.67
ORD-01101,2023-07-09,2023-07-11,Second Class,CUST-1188,Home Office,Philadelphia,East,Office Supplies,Binders,148.37,2,0.4,29.09
ORD-01102,2023-05-08,2023-05-10,Second Class,CUST-1190,Corporate,Boston,East,Office Supplies,Labels,172.83,4,0.3,10.9
ORD-01103,2022-07-13,2022-07-17,First Class,CUST-1230,Consumer,Chicago,Central,Office Supplies,Binders,218.03,2,0.2,26.8
ORD-01104,2021-06-17,2021-06-20,Standard Class,CUST-1171,Corporate,Atlanta,East,Office Supplies,Binders,67.6,6,0.4,14.18
ORD-01105,2023-08-19,2023-08-23,Standard Class,CUST-1280,Corporate,Portland,West,Office Supplies,Paper,94.23,2,0.0,23.93
ORD-01106,2022-05-04,2022-05-08,Standard Class,CUST-1274,Consumer,Seattle,West,Office Supplies,Labels,390.59,4,0.0,159.82
ORD-01107,2022-05-08,2022-05-13,Second Class,CUST-1278,Consumer,Houston,Central,Technology,Laptops,1042.3,5,0.1,127.29
ORD-01108,2023-02-04,2023-02-07,Standard Class,CUST-1053,Consumer,Atlanta,East,Furniture,Chairs,3289.05,6,0.2,-209.84
ORD-01109,2021-12-25,2022-01-01,First Class,CUST-1234,Corporate,Seattle,West,Office Supplies,Pens,260.53,1,0.1,91.93
ORD-01110,2022-09-28,2022-10-03,Standard Class,CUST-1146,Home Office,San Francisco,West,Technology,Laptops,4463.66,2,0.0,1118.85
ORD-01111,2023-06-14,2023-06-18,First Class,CUST-1254,Consumer,New Orleans,South,Furniture,Chairs,5454.49,6,0.0,-17.98
ORD-01112,2022-01-05,2022-01-10,Second Class,CUST-1228,Consumer,Denver,Central,Furniture,Bookcases,599.4,3,0.0,69.07
ORD-01113,2022-12-24,2022-12-29,Standard Class,CUST-1038,Consumer,Portland,West,Office Supplies,Labels,404.28,1,0.1,140.64
ORD-01114,2023-06-17,2023-06-18,Standard Class,CUST-1290,Home Office,Philadelphia,East,Office Supplies,Labels,37.29,4,0.2,7.14
ORD-01115,2021-10-09,2021-10-14,First Class,CUST-1013,Consumer,Houston,Central,Technology,Laptops,2818.76,1,0.1,281.66
ORD-01116,2023-07-03,2023-07-05,Standard Class,CUST-1062,Consumer,New York,East,Office Supplies,Labels,381.16,2,0.15,142.8
ORD-01117,2022-10-17,2022-10-24,First Class,CUST-1080,Home Office,Atlanta,East,Technology,Phones,899.17,3,0.1,97.18
ORD-01118,2021-10-12,2021-10-14,Standard Class,CUST-1282,Consumer,Dallas,Central,Office Supplies,Paper,119.6,4,0.0,41.03
ORD-01119,2023-12-13,2023-12-17,Second Class,CUST-1230,Home Office,Portland,West,Technology,Phones,1969.08,1,0.0,321.76
ORD-01120,2023-10-27,2023-10-28,Standard Class,CUST-1115,Corporate,San Francisco,West,Furniture,Bookcases,3026.73,6,0.0,-28.78
ORD-01121,2022-07-17,2022-07-19,Same Day,CUST-1078,Consumer,Houston,Central,Furniture,Bookcases,1046.29,5,0.1,-60.52
ORD-01122,2021-04-04,2021-04-11,Standard Class,CUST-1015,Home Office,Chicago,Central,Technology,Accessories,5032.04,4,0.15,897.67
ORD-01123,2023-04-12,2023-04-15,First Class,CUST-1104,Consumer,Boston,East,Furniture,Bookcases,871.03,4,0.0,46.95
ORD-01124,2023-03-28,2023-03-30,First Class,CUST-1230,Corporate,Boston,East,Furniture,Tables,1393.13,3,0.0,92.81
ORD-01125,2021-11-24,2021-11-27,Standard Class,CUST-1239,Home Office,Portland,West,Technology,Phones,7042.89,5,0.0,928.74
ORD-01126,2022-05-09,2022-05-11,Second Class,CUST-1240,Home Office,New York,East,Furniture,Bookcases,1091.68,6,0.0,80.48
ORD-01127,2023-01-20,2023-01-24,Standard Class,CUST-1283,Consumer,Denver,Central,Technology,Phones,4166.62,3,0.0,884.84
ORD-01128,2021-09-01,2021-09-03,Second Class,CUST-1187,Home Office,Boston,East,Technology,Monitors,9770.76,5,0.0,2905.41
ORD-01129,2021-10-08,2021-10-15,Standard Class,CUST-1071,Corporate,Atlanta,East,Office Supplies,Paper,191.84,5,0.1,35.92
ORD-01130,2023-11-10,2023-11-15,Second Class,CUST-1056,Corporate,Seattle,West,Furniture,Bookcases,2798.22,3,0.0,-128.27
ORD-01131,2022-04-12,2022-04-19,Standard Class,CUST-1194,Corporate,Chicago,Central,Office Supplies,Pens,49.79,5,0.0,17.79
ORD-01132,2023-05-08,2023-05-10,Standard Class,CUST-1031,Consumer,Los Angeles,West,Technology,Laptops,2299.62,4,0.0,586.39
ORD-01133,2021-12-21,2021-12-25,Standard Class,CUST-1135,Corporate,Atlanta,East,Office Supplies,Paper,370.59,6,0.1,118.21
ORD-01134,2022-09-02,2022-09-05,Standard Class,CUST-1140,Corporate,New Orleans,South,Office Supplies,Paper,428.84,6,0.0,123.16
ORD-01135,2021-10-27,2021-10-30,Same Day,CUST-1245,Home Office,Charlotte,South,Technology,Monitors,296.75,3,0.0,55.93
ORD-01136,2022-05-06,2022-05-08,Second Class,CUST-1169,Consumer,New Orleans,South,Technology,Accessories,570.17,4,0.1,34.49
ORD-01137,2021-11-20,2021-11-24,Second Class,CUST-1164,Consumer,Dallas,Central,Office Supplies,Binders,398.68,3,0.0,99.62
ORD-01138,2021-03-18,2021-03-20,Standard Class,CUST-1253,Corporate,Miami,South,Technology,Phones,1393.36,4,0.4,-129.21
ORD-01139,2022-11-18,2022-11-21,Second Class,CUST-1239,Consumer,Miami,South,Technology,Accessories,3486.01,5,0.3,-80.74
ORD-01140,2021-01-29,2021-02-05,Second Class,CUST-1207,Corporate,Atlanta,East,Technology,Phones,2633.46,2,0.1,530.53
ORD-01141,2022-10-25,2022-10-27,Standard Class,CUST-1154,Consumer,Los Angeles,West,Office Supplies,Pens,23.96,3,0.0,9.31
ORD-01142,2021-08-31,2021-09-04,Standard Class,CUST-1159,Corporate,Seattle,West,Office Supplies,Binders,168.26,6,0.15,59.86
ORD-01143,2021-11-10,2021-11-14,Standard Class,CUST-1275,Consumer,Philadelphia,East,Office Supplies,Pens,340.26,4,0.0,114.77
ORD-01144,2023-01-11,2023-01-12,Second Class,CUST-1103,Corporate,Chicago,Central,Office Supplies,Paper,138.0,5,0.0,46.49
ORD-01145,2023-09-29,2023-09-30,Standard Class,CUST-1212,Consumer,Portland,West,Office Supplies,Paper,433.09,5,0.2,92.4
ORD-01146,2021-01-07,2021-01-14,Standard Class,CUST-1277,Corporate,Boston,East,Furniture,Chairs,470.43,1,0.0,17.0
ORD-01147,2021-10-05,2021-10-12,Standard Class,CUST-1193,Consumer,Charlotte,South,Office Supplies,Binders,587.43,4,0.0,248.39
ORD-01148,2023-03-16,2023-03-21,Same Day,CUST-1237,Consumer,Houston,Central,Furniture,Tables,506.38,3,0.2,19.77
ORD-01149,2022-07-19,2022-07-21,Standard Class,CUST-1008,Consumer,Philadelphia,East,Office Supplies,Labels,140.92,5,0.0,51.44
ORD-01150,2021-04-10,2021-04-12,Second Class,CUST-1071,Consumer,Los Angeles,West,Technology,Phones,7612.98,1,0.0,1583.13
ORD-01151,2022-10-19,2022-10-21,First Class,CUST-1153,Corporate,Seattle,West,Furniture,Bookcases,613.0,4,0.5,-104.02
ORD-01152,2022-12-07,2022-12-14,Standard Class,CUST-1192,Corporate,Atlanta,East,Technology,Laptops,4447.42,3,0.15,474.33
ORD-01153,2023-08-07,2023-08-08,Second Class,CUST-1130,Consumer,San Francisco,West,Technology,Monitors,5376.56,2,0.1,413.02
ORD-01154,2022-01-26,2022-01-27,Second Class,CUST-1286,Consumer,New Orleans,South,Technology,Phones,572.22,5,0.3,-7.08
ORD-01155,2022-03-10,2022-03-12,First Class,CUST-1104,Consumer,New Orleans,South,Technology,Laptops,2050.86,2,0.15,360.68
ORD-01156,2023-01-06,2023-01-09,Second Class,CUST-1240,Consumer,Boston,East,Furniture,Tables,2178.62,6,0.0,328.33
ORD-01157,2022-03-30,2022-04-06,Standard Class,CUST-1213,Consumer,New Orleans,South,Office Supplies,Pens,70.63,6,0.1,20.91
ORD-01158,2022-11-23,2022-11-26,Standard Class,CUST-1235,Corporate,Atlanta,East,Technology,Laptops,4693.75,4,0.4,133.02
ORD-01159,2021-05-01,2021-05-06,First Class,CUST-1211,Consumer,Portland,West,Technology,Accessories,166.67,1,0.4,5.61
ORD-01160,2023-02-04,2023-02-05,Second Class,CUST-1282,Consumer,San Francisco,West,Technology,Laptops,5511.47,5,0.15,155.13
ORD-01161,2023-10-26,2023-11-02,Standard Class,CUST-1123,Corporate,Boston,East,Furniture,Chairs,2491.71,2,0.0,-64.59
ORD-01162,2023-04-12,2023-04-16,Standard Class,CUST-1016,Corporate,Houston,Central,Technology,Accessories,2999.01,1,0.0,796.57
ORD-01163,2021-12-17,2021-12-18,Standard Class,CUST-1270,Consumer,Atlanta,East,Technology,Monitors,4858.83,1,0.1,564.86
ORD-01164,2022-07-29,2022-08-03,First Class,CUST-1106,Consumer,Portland,West,Office Supplies,Paper,86.71,1,0.0,35.78
ORD-01165,2023-03-08,2023-03-15,Standard Class,CUST-1040,Consumer,New Orleans,South,Office Supplies,Labels,404.99,6,0.0,155.9
ORD-01166,2023-03-24,2023-03-27,Standard Class,CUST-1182,Consumer,Portland,West,Furniture,Bookcases,360.87,2,0.2,-13.48
ORD-01167,2022-05-20,2022-05-27,Second Class,CUST-1078,Consumer,Atlanta,East,Office Supplies,Labels,46.98,6,0.0,17.75
ORD-01168,2023-01-08,2023-01-11,Standard Class,CUST-1262,Consumer,New York,East,Office Supplies,Pens,19.82,5,0.0,6.19
ORD-01169,2023-02-28,2023-03-01,First Class,CUST-1124,Corporate,Los Angeles,West,Furniture,Chairs,1907.65,5,0.2,59.54
ORD-01170,2023-10-07,2023-10-09,Standard Class,CUST-1184,Consumer,Dallas,Central,Office Supplies,Paper,56.69,1,0.0,15.59
ORD-01171,2021-08-08,2021-08-10,Standard Class,CUST-1225,Corporate,Denver,Central,Technology,Laptops,3602.85,3,0.0,807.18
ORD-01172,2023-03-27,2023-03-30,Standard Class,CUST-1192,Consumer,Philadelphia,East,Furniture,Tables,1429.11,3,0.4,-77.9
ORD-01173,2021-02-25,2021-03-04,Second Class,CUST-1035,Corporate,Philadelphia,East,Technology,Monitors,2523.46,6,0.0,399.38
ORD-01174,2021-11-12,2021-11-19,Standard Class,CUST-1298,Corporate,Dallas,Central,Office Supplies,Labels,265.41,4,0.0,118.82
ORD-01175,2021-06-24,2021-06-25,First Class,CUST-1204,Corporate,Boston,East,Furniture,Storage,4221.67,5,0.0,435.55
ORD-01176,2022-03-31,2022-04-05,Standard Class,CUST-1256,Consumer,Charlotte,South,Office Supplies,Pens,226.59,6,0.0,67.47
ORD-01177,2021-08-26,2021-09-02,Same Day,CUST-1247,Consumer,Boston,East,Technology,Phones,1577.56,5,0.0,405.2
ORD-01178,2021-08-24,2021-08-25,Standard Class,CUST-1124,Consumer,Atlanta,East,Furniture,Chairs,1312.07,6,0.15,-110.1
ORD-01179,2023-04-10,2023-04-17,Standard Class,CUST-1230,Home Office,Atlanta,East,Furniture,Tables,1654.27,2,0.0,222.25
ORD-01180,2021-05-09,2021-05-14,First Class,CUST-1134,Consumer,San Francisco,West,Office Supplies,Labels,39.51,1,0.0,9.85
ORD-01181,2021-08-22,2021-08-25,Second Class,CUST-1152,Corporate,Boston,East,Office Supplies,Labels,201.74,6,0.1,71.3
ORD-01182,2022-01-10,2022-01-13,Standard Class,CUST-1216,Consumer,Houston,Central,Office Supplies,Binders,422.19,4,0.0,98.99
ORD-01183,2023-07-13,2023-07-18,Standard Class,CUST-1196,Consumer,Atlanta,East,Technology,Laptops,581.95,2,0.4,-1.79
ORD-01184,2023-09-28,2023-09-30,First Class,CUST-1140,Consumer,Atlanta,East,Office Supplies,Labels,13.59,1,0.2,2.11
ORD-01185,2023-10-12,2023-10-17,First Class,CUST-1277,Corporate,Portland,West,Technology,Accessories,1374.85,3,0.0,286.82
ORD-01186,2021-07-29,2021-08-05,Same Day,CUST-1134,Corporate,Denver,Central,Office Supplies,Binders,250.72,4,0.0,112.78
ORD-01187,2022-12-20,2022-12-27,Standard Class,CUST-1105,Corporate,New York,East,Furniture,Chairs,4549.78,2,0.0,-69.12
ORD-01188,2022-08-16,2022-08-21,Second Class,CUST-1030,Consumer,Philadelphia,East,Office Supplies,Pens,43.76,4,0.0,16.96
ORD-01189,2022-05-22,2022-05-29,Second Class,CUST-1192,Consumer,Dallas,Central,Office Supplies,Paper,111.49,4,0.1,24.21
ORD-01190,2023-07-21,2023-07-25,First Class,CUST-1234,Corporate,Boston,East,Furniture,Chairs,459.47,1,0.3,5.42
ORD-01191,2022-03-10,2022-03-14,Standard Class,CUST-1248,Consumer,Charlotte,South,Office Supplies,Pens,131.81,5,0.0,45.41
ORD-01192,2021-11-20,2021-11-24,First Class,CUST-1154,Consumer,Portland,West,Office Supplies,Binders,284.78,2,0.0,105.98
ORD-01193,2021-12-05,2021-12-06,Standard Class,CUST-1046,Consumer,Seattle,West,Technology,Accessories,2834.55,4,0.15,499.01
ORD-01194,2023-07-01,2023-07-02,Standard Class,CUST-1067,Consumer,Los Angeles,West,Office Supplies,Binders,14.81,4,0.2,5.14
ORD-01195,2022-09-05,2022-09-07,Standard Class,CUST-1271,Consumer,New York,East,Furniture,Tables,1351.12,1,0.1,93.61
ORD-01196,2023-04-24,2023-04-29,Standard Class,CUST-1196,Corporate,Philadelphia,East,Office Supplies,Paper,209.1,1,0.0,47.07
